name,space,neighbourhood_cleansed,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,amenities,square_feet,price,cleaning_fee,minimum_nights,maximum_nights,reviews_per_month,host_acceptance_rate
Cozy Entire Floor of Brownstone,"Greetings!      We own a double-duplex brownstone in Clinton Hill on Gates near Classon Avenue -  (7 blocks to C train, 5 blocks to G train, minutes to all), in which we host on the entire top floor of the upper duplex.  This is more of an efficiency set-up: it is the top floor on a two-family, double duplex brownstone.  The top floor for our guests consists of a sizable bedroom, full bath and eat-in kitchen for your exclusive use.  Our family occupies the floors below.  You go through a common hallway and staircase, to get to the top floor (2 easy flights up from the main entrance), but not through any rooms, so it is a fairly private set-up. - Clinton Hill, Gates Avenue near Classon Ave. (1 mi. or less to Williamsburg, Park Slope, Prospect Heights, downtown, Ft. Greene, Bed-Stuy, Bushwick; 20 mins to Manhattan) - includes FiOS, heat (or A/C), hot water, and electricity all included - furnished with two twin beds (convertible into a king bed), one rollaway twin bed and one inflatable ",Clinton Hill,40.68514,-73.95976,Guest suite,Entire home/apt,1,1,4,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,""High chair"",""Stair gates"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",500,$89.00,,1,730,4.71,96%
Skylit Midtown Castle,"- Spacious (500+ft²), immaculate and nicely furnished & designed studio. - Tuck yourself into the ultra comfortable bed under the skylight. Fall in love with a myriad of bright lights in the city night sky.  - Single-sized bed/convertible floor mattress with luxury bedding (available upon request). - Gorgeous pyramid skylight with amazing diffused natural light, stunning architectural details, soaring high vaulted ceilings, exposed brick, wood burning fireplace, floor seating area with natural zafu cushions, modern style mixed with eclectic art & antique treasures, large full bath, newly renovated kitchen, air conditioning/heat, high speed WiFi Internet, and Apple TV. - Centrally located in the heart of Midtown Manhattan just a few blocks from all subway connections in the very desirable Midtown location a few minutes walk to Times Square, the Theater District, Bryant Park and Herald Square. - The Midtown Castle is a uniquely charming Dutch Colonial survivor from the 1890s.  - This is ",Midtown,40.75362,-73.98377,Apartment,Entire home/apt,1,0,1,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout""}",,$225.00,$95.00,7,1125,0.38,38%
Cozy Clean Guest Room - Family Apt,"Stay in my family's little  guest room and enjoy privacy, a warm welcome, and security.  Your guest room is comfortable and clean.   It is small but well outfitted, has a single bed and a fabulous mattress which is firm and yet pillowy on top, all at the same time. The bathroom is shared and immediately across the hall. (""Shared"" in the sense it isn't ""en suite."" The family will use our second bath while you are staying with us). The bathroom is fully supplied with shampoo, conditioner, scrub, soap, towels. There is a window air conditioner in summer, ceiling fan, abundant pre-war construction apartment heat.  No smoking. I leave out a simple self serve breakfast: granola, yogurt, fruit.  We may chat with you over coffee, or perhaps you'll hit us on a busy day when we are already out and have left the coffee for you to serve yourself. Coffee or tea are available anytime.  When you respond tell us a little bit about yourself, the purpose of your visit, and persuade us that you'd be a su",Upper West Side,40.80178,-73.96723,Apartment,Private room,1,1,1,"{Internet,Wifi,""Air conditioning"",""Paid parking off premises"",Doorman,Breakfast,""Pets live on this property"",Dog(s),Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}",,$79.00,,2,14,0.92,N/A
Cute & Cozy Lower East Side 1 bdrm,"PLEASE NOTE: do not automatically book with out messaging me first. Thanks! My apartment is a cute, cozy, 1 bdrm apt in the Lower East Side (LES) adjacent to Chinatown in lower Manhattan, steps to F train, East Broadway stop and very close to Canal/Delancey streets where many hip bars, restaurants and shops are in the LES. Apt is clean, has a fully equipped kitchen, cable TV, A/C, heat, and wireless internet. Apt is located on 2nd floor of well maintained walk up building. Walking distance to Soho, East Village, Little Italy, Chinatown and very close to Dumbo and Williamsburg, Brooklyn. You have place to yourself-better than a hotel!  Prices listed are for up to two people only. Possible to accommodate a 3rd (for extra charge), but ideal for two.   Nighty rate: $125 - $150 a night for up to two people depending on time of year. $10 extra per person after 2 people.  As of now, I prefer booking for minimum 7 days and more. Might make an exception to fill in time slots, so inquire anyway.",Chinatown,40.71344,-73.99037,Apartment,Entire home/apt,1,1,2,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Host greets you""}",,$150.00,$40.00,1,1125,1.26,26%
Modern NYC,"Lovely, spacious, sunny 1 BR apartment in 6th Floor elevator building steps from gorgeous Fort Tryon Park/The Cloisters in Manhattan, less than 5 min walk from the A-train, 25-minutes to midtown Manhattan. Neighborhood is quiet, safe and hilly. Fully equipped, all brand new kitchen; king size bed; WiFi and cable; and more. We are looking for responsible renters who don't mind feeding our Maine Coon cat while staying there. ",Washington Heights,40.85722,-73.9379,Other,Private room,,1,2,"{Internet,Wifi}",,$100.00,,1,730,0.01,50%
Central Manhattan/near Broadway,"The apartment is located on the 5th floor of a walk-up building. There is no elevator. The guest room is small but quiet, with air conditioning and wi-fi. The bathroom is next to the guest bedroom.",Hell's Kitchen,40.7616,-73.98893,Apartment,Private room,1,1,1,"{Internet,Wifi,""Air conditioning"",Breakfast,""Buzzer/wireless intercom"",Heating,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,""Host greets you""}",,$99.00,$0.00,2,7,1.59,56%
Wonderful Guest Bedroom in Manhattan CENTRAL PARK,"GUEST BEDROOM on Central Park West.  Beautiful and safe location overlooking Central Park.  2 minutes from the C and B trains, 4 blocks from Broadway and trains 1 and 9 on the Upper West Side of Manhattan, near Columbia University.  The room is sunny with a Full-size bed...shared bathroom with owner and the kitchen can be used for breakfast – NO COOKING. Clean environment, air conditioning and a nicely decorated room with cable TV, wireless and fresh linens provided.  This is a 2-bedroom apartment shared with owner. $85.00/night – SINGLE - $105.00/ night 2 PEOPLE December & Holidays the rates are higher. - NO SMOKING (no exceptions) - NO PETS (no exceptions) - 2-NIGHT MINIMUM STAY (no exceptions) - NO CHILDREN (no exceptions) - 11:00 noon CHECK-OUT TIME - 2:00 pm CHECK-IN TIME It's a GEM on the Upper West Side. NOTES:  - Payments made through AirBnB - Prices are guaranteed after booking. - No washer/dryer. There are laundry facilities close by.",Upper West Side,40.79826,-73.96113,Apartment,Private room,1,1,1,"{TV,Internet,Wifi,""Air conditioning"",""Paid parking off premises"",Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Lock on bedroom door"",""Hair dryer"",""Private entrance"",""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",""Host greets you""}",,$85.00,$80.00,2,730,0.93,84%
West Village Nest - Superhost,"Excellent West Village Location - Bleecker Street and Perry Street in the heart of the West Village, a historic and chic neighborhood in Manhattan with many 19th century townhouses. Around every corner you will find brownstones, stoops, cobblestone and tree lined streets Plus endless restaurant & shopping choices.    The apartment has many original details and is located in a historic pre-war apartment building on one of the prettiest street corners in lower Manhattan. Details:  * Large windows provide beautiful natural light and views of the charming neighborhood  * Hardwood floors and vintage style tile * Decorative fireplace with mantel * Renovated Kitchen with full refrigerator, stove, microwave and dishwasher  * Spacious open floor plan and high ceilings * Queen size bed - super comfy * Utilities included in monthly rate (water, heat, air condition, electrical, gas AND and wireless internet)  * Fifth floor apartment (walk up) * Full service laundry 2 blocks away * Steps to boutiqu",West Village,40.7353,-74.00525,Apartment,Entire home/apt,1,1,1,"{Wifi,""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Stove,""Long term stays allowed"",Other}",,$120.00,$150.00,180,365,0.21,100%
Only 2 stops to Manhattan studio,"Our comfortable 500 sq foot (46 sq m) studio apartment with full kitchen and bath is for short term rental. The apartment is private and is in a two family house. The house is located in FABULOUS Williamsburg, Brooklyn within 10 minute travel from Manhattan. The studio is a perfect place to stay for budget minded visitors of New York City! IN THE APARTMENT: Comfortable luxury king size bed, soft flannel bed linens, pillows, comforters, a couch with queen size pullout bed, air conditioning, hangers, iron & ironing board, alarm clock, radio, TV(No Cable/Satellite), DVD/VCR player, wireless internet access for guest's laptops, dining table, room divider/screen IN THE BATHROOM:  Fluffy bath towels, hand towels, bath mat, wash cloths, toilet paper (initial supply), plunger/toilet brush, soaps, shampoo & conditioner, hair dryer. IN THE KITCHEN:  Refrigerator, gas stove, toaster, microwave, French press coffee maker, plates/bowls, glasses (wine, large, small), cups, Kitchen towels,  frying pa",Williamsburg,40.70837,-73.95352,Apartment,Entire home/apt,1,,1,"{TV,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",500,$140.00,$90.00,2,90,1.37,96%
UES Beautiful Blue Room / Oak Room,"Home is fun healthy.  Your Night’s Sleep: 100% cotton sheets and a fluffy down comforter. Just pack your favorite comfy shoes and bring your empty suitcases to fill. There are 2 rooms, right now the white room is available. It is a sleeping loft that is fit for a queen. The perfect night sleep. One single sleeping bedroom, The room is approximately 65 square feet. The twin bed is built on the legs of a piano from the 1800's. There is a dresser and a nice size closet for all your clothes. Hairdryer, bedding and towels are provided in your room. The room is sound proof, no street noise, perfect for recovering from jet-lag.  I feel that if my guests have a good nights sleep, they are full of energy for their adventure, which I end up having happy guests. The Common Space: approximately 500 square feet, features an Eat-in kitchen, living room and bathroom, to share. There is never more than 2 guests here at a time, this way there is enough space for each of us to get lost in, if we need to",East Harlem,40.78962,-73.94802,Apartment,Private room,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Breakfast,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Shampoo,""Hair dryer"",""Hot water"",""Host greets you""}",,$65.00,,30,700,1.84,89%
